userWallet,credit_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,115.41306588802063
0x000000000051d07a4fb3bd10121a343d85818da6,341.6749778855854
0x000000000096026fb41fc39f9875d164bd82e2dc,162.0361832747846
0x0000000000e189dd664b9ab08a33c4839953852c,234.65146692737548
0x0000000002032370b971dabd36d72f3e5a7bf1ee,719.4399432870979
0x000000000a38444e0a6e37d3b630d7e855a7cb13,587.1123472017035
0x000000003853fcedcd0355fec98ca3192833f00b,164.72642734098645
0x000000003ce0cf2c037493b1dc087204bd7f713e,766.131031144988
0x000000007858e6f2668e1e06111cfa24403a5466,119.43578098767043
0x00000001a0f57e850c9db68b4a9bc34677437c5c,115.41306579729977
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,815.0103649607864
0x00000029ff545c86524ade7caf132527707948c4,815.4642304587009
0x00000087c4cebffb95746d1935de7fbcab092f40,642.3223754926602
0x000000e28faa823d5b53ff6c2922c28335840375,875.3439167488134
0x000006eee6e39015cb523aebdd4d0b1855aba682,558.9458230068344
0x00000a9c78912badb92d73b6ed26456e11def5eb,115.41306579729488
0x00001bc47f0973f794f79c16121cee879e272d6a,207.69250824043084
0x00002b503a75998c97508916a74fdb41934fa030,514.729745293038
0x0000897253cc85f7547317eb2080b36b3255687a,152.2642689729853
0x0000b252c943089fbba5554a1d196ef79bc77e4f,115.41306579726854
0x0000ce08fa224696a819877070bf378e8b131acf,239.50568632470163
0x00010a708585ba4812a1c5976182626c75cb7a6b,462.5066306303014
0x00016fc0c9f7620e920e1423fd455f9574f48025,133.15277564704428
0x0002761e848b24046a53d494847b11a3e1d36b09,147.06475935767676
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,161.8335409760108
0x0003816b25fd3d6c112eb65c089760fa3f791947,520.6506611332269
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,324.68662148126145
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,131.76410876283887
0x0003f46779806fe779e7f30eec95dbdb4d45840b,185.01790867104813
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,184.82610895908905
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,119.06395353108945
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,278.3466930694797
0x0005696d4be2359526c497fe4a4c0620b41f2426,96.95961138650456
0x000660cad76200a2e326f53e033919905e6c50f5,115.4130657972665
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,153.22817141374867
0x00080000158a9930aeb508823103b0a977161c47,230.10583396993545
0x00099b1263c22ae2ce0a52624cef2a012e751970,162.0107050715027
0x0009ce45d5df78e632a0b4987079432dfba2253a,117.23736880577715
0x000a27ba176083e4b50177378cbe7469a00dd557,161.30060540438257
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,603.1946345069988
0x000ab43e658935ba39504a1424b01756c1e9644c,101.05943072934824
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,479.27566994394493
0x000c8e2871750f458bf1de8ab528dda09bc95db6,575.8454625681369
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,183.2774811195521
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,399.52685169015274
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,115.4584443500741
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,119.74026598795477
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,195.37783878318723
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,238.41875309094337
0x000e840a3122ec28d0c29321db172375cb049762,425.6333079731251
0x000e9bd1d42999446d60ff60f1fb3afb13604202,230.71417478554784
0x000eab293e332bd6e67018a9150e8807bfac3233,151.2100063460718
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,362.4146358518762
0x000f4432a40560bbff1b581a8b7aded8dab80026,253.00096809799282
0x000f7f22bfc28d940d4b68e13213ab17cf107790,938.8842811593602
0x000f908720f9ce164d90f4fc89459fab4442907f,469.6156499144355
0x000fbfec300959d0f2f327728a889c1f5de8e2df,455.5690584706973
0x0011730224657eb527cf736039854c3a3f140e63,516.1980978690328
0x00120ea6fdbaf057eadc1bd149f957488444e92c,335.9203064629784
0x0012668072f7e0579caf7e047713d8b6d476d0db,203.09851162765813
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,507.1356883952771
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,115.41306579721815
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,119.43380750082248
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,158.69075708509098
0x0014dfac19477a83d7354e6eaac28642c1959398,393.393020180349
0x001589fe1923c2118f34e4277f2ef650fcbf0161,575.9652258519546
0x00159370cbe576b765a7fb2e78582e0cb563d445,479.41827254315274
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,125.13430689850544
0x0016469a65facda9e86fd0ae0e9661128843c224,78.64181821666524
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,119.58729531835449
0x00183135585d70a523d61b2e43037a7138b36906,509.17217311628906
0x00184e8aa1e95f491f2d9601e12b540092160ded,348.5570157396034
0x0018583d7654803d2c59467e10dec5f70bbe1851,190.23455881457704
